username,repo_name,repo_url,stars
babel,babel,https://github.com/babel/babel,41600
swc-project,swc,https://github.com/swc-project/swc,24800
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24700
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,21600
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,20500
avajs,ava,https://github.com/avajs/ava,20100
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15100
grab,front-end-guide,https://github.com/grab/front-end-guide,14700
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11300
grommet,grommet,https://github.com/grommet/grommet,8100
developit,htm,https://github.com/developit/htm,8000
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,6500
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,5600
insin,nwb,https://github.com/insin/nwb,5500
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300
egoist,poi,https://github.com/egoist/poi,5300
fkling,astexplorer,https://github.com/fkling/astexplorer,5100
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4700
duxianwei520,react,https://github.com/duxianwei520/react,4700
