username,repo_name,repo_url,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,152000
junegunn,fzf,https://github.com/junegunn/fzf,48200
sharkdp,bat,https://github.com/sharkdp/bat,38100
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,36900
google,zx,https://github.com/google/zx,35000
wagoodman,dive,https://github.com/wagoodman/dive,34400
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,34200
chubin,cheat.sh,https://github.com/chubin/cheat.sh,31200
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,30900
cli,cli,https://github.com/cli/cli,30400
spf13,cobra,https://github.com/spf13/cobra,29500
n8n-io,n8n,https://github.com/n8n-io/n8n,26400
angular,angular-cli,https://github.com/angular/angular-cli,25700
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,25500
sharkdp,fd,https://github.com/sharkdp/fd,25300
httpie,httpie,https://github.com/httpie/httpie,24700
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,24700
google,python-fire,https://github.com/google/python-fire,23300
tqdm,tqdm,https://github.com/tqdm/tqdm,23300
vercel,pkg,https://github.com/vercel/pkg,22300
