username,repo_name,repo_url,stars
metabase,metabase,https://github.com/metabase/metabase,30500
penpot,penpot,https://github.com/penpot/penpot,19200
logseq,logseq,https://github.com/logseq/logseq,18200
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12700
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
kanaka,mal,https://github.com/kanaka/mal,9000
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8700
tonsky,datascript,https://github.com/tonsky/datascript,5000
reagent-project,reagent,https://github.com/reagent-project/reagent,4500
riemann,riemann,https://github.com/riemann/riemann,4100
weavejester,compojure,https://github.com/weavejester/compojure,4000
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3900
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3800
status-im,status-mobile,https://github.com/status-im/status-mobile,3500
ring-clojure,ring,https://github.com/ring-clojure/ring,3500
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3400
babashka,babashka,https://github.com/babashka/babashka,3000
viebel,klipse,https://github.com/viebel/klipse,3000
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2900
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900
